"person";"txt"
"Chandler";"(entering) Look, maybe I got carried away before. But there'ssomething you gotta know. If I'm the best, it's only because you've made me the best."
"Monica";"Keep talking."
"Chandler";"I mean I was nothing before you. Call the other girls and ask. Whichwouldn't take long. But when I'm with you, and we're together, OH…MY…GOD."
"Monica";"Really?"
"Chandler";"Oh-aw my God! Now, I understand if you never want to sleep with meagain, but that would be wrong. We're too good! We owe it, to sex!"
"Monica";"Well, if we owe it? (She throws down her cleaning stuff and jumps intohis arms.) Oh my… When is Joey gonna be home?"
"Chandler";"Well, I was kinda hoping we could do this without him. (She starts totake off her latex gloves.) Oh no-no-no, leave the gloves on."
"Monica";"But, I just cleaned the bathroom."
"Chandler";"Yeah, why don't we lose the gloves."
"Monica";"Yeah. (She takes them off.)"
"Chandler";"All right, let's show them how it's done."
"Monica";"Okay."
"Monica";"Ow!"
"Chandler";"Y'know that wasn't part of it?"
"Monica";"I know!"
"Rachel";"(entering) Hi! Are you ready? We're gonna be late!"
"Ross";"For what?"
"Rachel";"For Stella! Remember? She's gettin' her grove back in like 20 minutes."
"Ross";"Yeah, I uh, totally forgot about that. You mind if I take a rain check?I'm waiting for a call from Emily."
"Rachel";"Sure. I guess. Hey, I hear you don't have to go to London. Yay!"
"Ross";"It's not that easy, there's still a lot of relationship stuff."
"Rachel";"Like what?"
"Ross";"Just stuff. Y'know kinda what Emily wants."
"Rachel";"Well, why don't you talk to me about it, maybe I can help."
"Ross";"No. No. You-you can't help. I mean, I kinda have to do this without yourhelp."
"Rachel";"Well, I-I know you can do that too. I'm just, I'm just saying if youneed somebody to talk to… Hi!"
"Ross";"Thanks."
"Rachel";"Ross? Look, whatever this relationship stuff that Emily wants, just giveit to her. Come on, the bottom line here is that you love her. So just fix whatever shewants fixed. Just do it. (The phone starts ringing.) I mean, you're gonna"
"Ross";"(answering the phone.) Hello. (Listens) Hi sweetie. (Listens.) Good. Lookumm, yes I've been thinking about that thing that you wanted me to do and, I can do it.(Rachel gives him a thumbs up.) So will you come to New York? (Rachel wants to know whatshe said, and he gives her a thumbs up and she goes over and hugs him. All the time notknowing what's going on.)"
"Monica";"Never done that before."
"Chandler";"Nope."
"Monica";"(quietly) Hi!"
"Chandler";"(quietly) Hi! (They both start kissing.)"
"Joey";"Monica? What time is it?"
"Chandler";"Uhh, 9. (He pushes the clock into the sink.)"
"Joey";"But it's dark out."
"Monica";"Well that's because you always sleep to noon, silly! This is what 9looks like."
"Joey";"I guess I'll get washed up then. Watch that sunrise. (He goes into thebathroom.)"
"Monica";"I'm"
"Chandler";"I know, me too. Hey! Y'know what if we went away for a whole weekend?Y'know we'd have no interruptions and we could be naked the entire time."
"Monica";"All weekend? That's a whole lotta naked."
"Chandler";"Yeah, I can say that I have a conference and you can say you have achef thing."
"Monica";"Ohh, I've always wanted to go to this culinary fair that they have inJersey!"
"Chandler";"Okay, y'know your not though. Let's go. (He starts for his bedroom.)"
"Monica";"Wait! What about Joey?"
"Monica";"(entering from her room) Hey, guess what I'm doing this weekend! I'mgoing to this culinary fair in New Jersey."
"Phoebe";"Oh weird, Chandler just told us he's got a conference there!"
"Monica";"Oh now that-that-that's funny, it seems like Chandler's conferencecould've been in Connecticut or Vermont."
"Chandler";"I'm not in charge of where the conference is held. Do you want peopleto think it's a fake conference? It's a real conference."
"Ross";"(entering) Hey."
"Joey";"Hey!"
"Monica";"Hey."
"Ross";"Is Rachel here? I gotta talk to her."
"Monica";"No, she's out shopping."
"Ross";"Damn!"
"Chandler";"What's going on?"
"Ross";"I told Emily to come. And I just need to y'know, talk to Rachel about it."
"Phoebe";"Wait a minute! So when Emily comes you're just, you're not gonna seeRachel anymore?"
"Ross";"Well look, I'm just trying to focus on the "I get to see mywife," part, all right? And not the part that makes me do this. (He takes a big swigof"
"Monica";"Wow, so you guys are, you're never gonna be in the same room together?How is that even gonna work?"
"Ross";"I have no idea. I mean… But-but I assure you I will figure it out."
"Joey";"Doesn’t seem like it's going to work, I mean…"
"Rachel";"(entering) Hi, guys!"
"Joey";"Hi!"
"Chandler";"Uh, hey!"
"Rachel";"What's going on?"
"Chandler";"We're flipping Monica's mattress."
"Joey";"So I'm thinking, basically we pick it up and"
"Phoebe";"Yeah that's better than my way."
"Rachel";"Oh okay, hey guys, would you flip mine too?"
"Chandler";"Aww, man! (They go into Monica's room.)"
"Rachel";"(going through the mail) Oh look! A letter from my mom."
"Ross";"So, Rach, y'know-y'know how Emily's coming right?"
"Rachel";"Oh yeah! I know."
"Phoebe";"(To Chandler) Can you hear anything?"
"Chandler";"Oh yes, somebody just said, "Can you hear anything?""
"Monica";"Hey, Joey's ass! What are you doing?"
"Joey";"(holding a box) Well, remember when they got in that big fight and brokeup and we were all stuck in her with no food or anything? Well, when Ross said Rachel atthe wedding, I figured it was gonna happen again, so I hid this in here."
"Monica";"Ooh, candy bars, crossword puzzles…"
"Phoebe";"Ooh,"
"Chandler";"Condoms?"
"Joey";"You don't know how long we're gonna be in here!"
"Chandler";"And condoms are the way to do that?"
"Ross";"Anyway it-it kinda-it all boils down to this, the last time I talked toEmily…"
"Rachel";"(interrupting) Oh my God! My dog died!"
"Ross";"What?!"
"Rachel";"Oh my God, Le Poo, our dog!"
"Ross";"Le Poo's still alive?!"
"Rachel";"Oh God, it says he was hit by an ice cream truck and dragged fornine-(turns over the note)-teen blocks. Oh. (They all come out from Monica's bedroom) Ohmy God."
"Monica";"Sweetie, we heard you crying. Please don't cry."
"Rachel";"It's Le Poo."
"Phoebe";"I know it's le poo right now, but it'll get better."
"Chandler";"(jumping on the bed) I can't believe it! We're here!"
"Monica";"Ooh, chocolates on the pillows! I love that!"
"Chandler";"Oh, you should live with Joey,"
"Monica";"Come here. (He does, and they kiss.) Okay, be right back."
"Chandler";"Oh yes! Monica, get in here! There's a high-speed car chase on!"
"Monica";"We're switching rooms."
"Chandler";"(looks at what she's holding and shies away) Oh dear God, they gave usglasses!"
"Monica";"No, they gave us glasses with lipstick on them! I mean, if they didn'tchange the glasses, who knows what else they didn't change. (He glares at her.) Come onsweetie, I just want this weekend to be perfect, I mean we can change rooms, can't we?"
"Chandler";"Okay, but let's do it now though, because Chopper 5 just lost it'sfeed! (He grabs their bags and sprints out.)"
"Ross";"Hey, so uh, y'know how there's something I wanted to talk to you about?"
"Rachel";"Oh yeah! (Turns to face him.)"
"Ross";"Well, y'know how I'm trying to work things out with Emily. Well, there'sthis one thing… Okay, (Rachel has her back turned to the camera, and Ross isn'tlooking at her.) here goes. I made a promise that-(they cut to the other camera and Rossnotices something coming out of Rachel's nose)-Oh hey!"
"Rachel";"What?"
"Ross";"You're nose is bleeding!"
"Rachel";"Oh God. (He hands her some tissues.) No! Oh not again! (Wiping hernose.) This-this happened when my grandfather died. It's ugh! Sorry. (She puts her headback.) Oh, okay, so I'm sorry, what-what were you-what did you want to tell me?"
"Ross";"Umm… (Rachel blows her nose.)"
"Rachel";"Sorry. Sorry."
"Ross";"Okay, I uh, I can't see you anymore."
"Rachel";"Yeah, I know. It's ridiculous! I can't see you either."
"Hotel Clerk";"I think you'll find this room more to your liking."
"Chandler";"Okay, great. (He grabs the remote and turns on the TV to the chase.)"
"Hotel Clerk";"(watching the chase) They say he's only got half a tank left."
"Chandler";"Half a tank? We still got a lot of high-speed chasing to do!"
"Monica";"We're switching rooms again."
"Chandler";"What? Why?"
"Monica";"This is a garden view room, and we paid for an ocean view room."
"Hotel Clerk";"Our last ocean view room was unacceptable to you."
"Monica";"(To Chandler) Excuse me, umm, can I talk to you over here for just asecond?"
"Chandler";"Uh-huh. (He doesn't take his eyes off the TV.)"
"Monica";"Chandler!"
"Chandler";"(turning to face her) Yeah."
"Monica";"Look, these clowns are trying to take us for a ride and I'm not gonnalet 'em! And we're not a couple of suckers!"
"Chandler";"I hear ya, Mugsy! But look, all these rooms are fine okay? Can youjust pick one so I can watch-(realizes)-have a perfect, magical weekend together with you."
"Monica";"Okay,"
"Chandler";"(watching TV, in fact, ER is on.) Nothing! It's over! Dammit! This isregularly scheduled programming!"
"Monica";"Can we turn the TV off? Okay? Do we really want to spend the entireweekend like this?"
"Chandler";"Oh, I'm sorry, am I getting in the way of all the room switching fun?"
"Monica";"Hey, don't blame me for wigging tonight!"
"Chandler";"Oh, who should I blame? The nice bell man who had to drag out luggageto 10 different rooms?"
"Monica";"I don't know, how about the idiot who thought he could drive from Albanyto Canada on a half a tank of gas!"
"Chandler";"Do not speak ill of the dead."
"Monica";"We're supposed to uh, be spending a romantic weekend together, it-it,what is the matter with you?"
"Chandler";"I just want to watch a little television. What is the big deal? Geez,relax mom."
"Monica";"What did you say?"
"Chandler";"I said, "Geez, relax Monnnnn.""
"Rachel";"Hi!"
"Ross";"Hey. Rachel, I-I-I've been wanting to tell you something for a while nowand I really, I just have to get it out."
"Rachel";"Okay, what's up?"
"Ross";"Okay, y'know how you told me I should do whatever it takes to fix mymarriage?"
"Rachel";"Yeah, I told you to give Emily whatever she wants."
"Ross";"And while that was good advice, you should know that what-what shewants…"
"Rachel";"Yeah?"
"Ross";"…is for me not to see you anymore."
"Rachel";"That's crazy! You can't do that! What are you going to tell her? (Pause)(Realizes) Oh God. Ohh, you already agreed to this, haven't you?"
"Ross";"It's awful I know, I mean, I feel terrible but I have to do this if I wantmy marriage to work. And I do, I have to make"
"Rachel";"Ohh! Lucky me! Oh my God! That"
"Ross";"You have no idea what a nightmare this has been. This is so hard."
"Rachel";"Oh yeah, really? Is it Ross? Yeah? Okay, well let me make this a just alittle bit easier for you."
"Ross";"What are you doing?"
"Rachel";"Storming out!"
"Ross";"Rachel, this is your apartment."
"Rachel";"Yeah, well that's how mad I am!!"
"Chandler";"Damn"
"Joey";"Hey, you're back!"
"Chandler";"Hey."
"Joey";"How was your conference?"
"Chandler";"It was terrible. I fought with (Pause) my colleagues y'know, theentire time. Are you kidding with this? (Throws away another"
"Joey";"Oh, so your weekend was a total bust?"
"Chandler";"Uh, no, I got to see Donald Trump waiting for an elevator."
"Monica";"(entering) Hi!"
"Joey";"Hey, you're back too!"
"Monica";"Yeah. Umm, Chandler can I talk to you outside for a second?"
"Joey";"Hey, how was your chef thing?"
"Monica";"Oh, it was awful. (To Chandler) I guess some people just don'tappreciate really good food."
"Chandler";"Well, maybe it was the kind of food that tasted good at first but thenmade everybody vomit and have diarrhea."
"Monica";"Chandler! (Motions for him to come outside.)"
"Chandler";"Monica. (Follows her out.)"
"Monica";"Okay, I'd like to know how much the room was because I'd like to pay myhalf."
"Chandler";"Okay, fine, $300."
"Monica";"300 dollars?!"
"Chandler";"Yeah, just think of it as $25 per room!"
"Monica";"Urghh!!"
"Joey";"(sticking his head out the door) What are you guys woofing about?"
"Monica";"Chandler stole a twenty from my purse!"
"Joey";"Nooooo!!! Y'know what? Now that I think about it, I constantly find myselfwithout twenties and"
"Ross";"You should've seen the look on her face. I don't want Rachel to hate me! Idon't know what to do."
"Joey";"You want my advice?"
"Ross";"Yes! Please!"
"Joey";"You're not gonna like it."
"Ross";"That's okay."
"Joey";"You got married to fast."
"Ross";"That's not advice!"
"Joey";"I told ya."
"Ross";"I'm going to the bathroom. (Gets up and exits.)"
"Joey";"Man, if anyone asked me to give up any of you, I couldn't do it."
"Chandler and Phoebe";"Yeah, me either."
"Monica";"Maybe I could do it."
"Rachel";"(entering) Hi!"
"Joey";"Hi, Rach."
"Chandler";"Hi!"
"Phoebe";"Hey."
"Monica";"Hey."
"Rachel";"Look, I know you guys heard about the whole thing with me and Ross buty'know, I've been obsessing about it all day and I'd just"
"Joey";"I-I-I don't know if this falls under this category, but uh, Ross is rightback there. (Points over his shoulder.)"
"Rachel";"That's not Ross!"
"Phoebe";"Oh no! Not that guy! He does look like him though."
"Chandler";"Okay, Ross is in the bathroom."
"Rachel";"Oh my God, its happening. It's already started. I'm Kip."
"Joey";"Hey, you're not Kip!"
"Rachel";"(To Joey) Do you even know who Kip is?"
"Joey";"Who cares? You're Rachel! (To Chandler) Who's Kip?"
"Chandler";"Kip, my old roommate, y'know we all used to hang out together."
"Joey";"Oh, that poor bastard."
"Rachel";"See? Yeah, you told me the story. He and Monica dated when they broke upthey couldn't even be in the same room together and you all promised that you would stayhis friend and what happened? He got phased out!"
"Monica";"You're not gonna be phased out!"
"Rachel";"Well, of course I am! It's not gonna happen to Ross! He's your brother.(To Chandler) He's your old college roommate. Ugh, it was just a matter of time beforesomeone had to leave the group. I just always assumed Phoebe would be the one to go."
"Phoebe";"Ehh!!"
"Rachel";"Honey, come on! You live far away! You're not related. You lift rightout."
"Chandler";"(entering) Hey!"
"Joey";"Hey, Mr. Bing. That uh, hotel you stayed at called. Said someone left aneyelash curler in your room."
"Chandler";"Yes that was mine."
"Joey";"'Cause I figured you'd hooked up with some girl and she'd left it there."
"Chandler";"Yes that would have made more sense."
"Joey";"Y'know, I-I don't even feel like I know you anymore man! All right, look,I'm just gonna ask you this one time. And whatever you say, I'll believe ya. (Pause.) Wereyou, or were you not on a gay cruise?!"
"Rachel";"Phoebe? (She turns her head further away.) I'm sorry about the wholelifting out thing. (Moves over next to her.) You gotta come with me!"
"Phoebe";"Come where?"
"Rachel";"Wherever I go. Come on you and me, we'll-we'll start a new group, we'rethe best ones."
"Phoebe";"Okay, but try and get Joey too."
"Ross";"(entering) Pheebs, you mind if I speak to Rachel alone for a sec?"
"Phoebe";"Oh, sure! (She gets up to leave.) Bye Ross! (Whispering behind hisback.) Forever."
"Ross";"Hi."
"Rachel";"Hi. What are you doing here? Isn't this against the rules?"
"Ross";"I talked to Monica, look, I'm the one who made the choice."
"Rachel";"Oh, Ross…"
"Ross";"No, no, it's okay. Really. They're plenty of people who just see theirsisters at Thanksgiving and just see their college roommates at reunions and just see Joeyat"
"Rachel";"No, it's not better. I still don't get to see you."
"Ross";"Well, what-what would you do? Rach, if you were me, what-what would youdo?"
"Rachel";"Well, for starters I would've said the right name at my wedding!"
"Ross";"I can't believe this is happening."
"Rachel";"I know."
"Ross";"I am so sorry."
"Rachel";"I know that too."
"Joey";"(entering) (He clears his throat to get their attention.) Hey, Rach? Sorryto interrupt but umm, Phoebe wanted me to talk to you about a trip or something."
"Chandler";"(entering) Hey!"
"Monica";"Hi."
"Chandler";"I just came over to drop off…nothing. So that weekend kindasucked, huh?"
"Monica";"Yeah, it did."
"Chandler";"So, I guess this is over."
"Monica";"What?"
"Chandler";"Well, y'know, you and me, it had to end sometime."
"Monica";"Why, exactly?"
"Chandler";"Because of the weekend, we had a fight."
"Monica";"Chandler that's crazy! If you give up every time you'd have a fight withsomeone you'd never be with anyone longer than—Ohhh! (They both realize somethingthere.)"
"Chandler";"So, this isn't over?"
"Monica";"(laughs) You are so cute! No. No, it was a fight. You deal with it andmove on! It's nothing to freak out about."
"Chandler";"Really? Okay. Great!"
"Monica";"Ohh, welcome to an adult relationship! (She goes to kiss him.)"
"Chandler";"(stops her) We're in a relationship?"
"Monica";"I'm afraid so."
"Chandler";"Okay."
"Phoebe";"Hey!"
"Monica";"Hey!"
"Phoebe";"Oh hey, Monica, I heard you saw Donald Trump at your convention."
"Monica";"Yeah, I saw him waiting for an elevator."
"Monica";"Hey, Rach, can I borrow your eyelash curler, I think I lost mine."
"Rachel";"Yeah, it's in there. (Points to the bathroom.)"
"Joey";"(shocked) Oh! Ohh! Oh!!"
"Chandler";"Joey, can I talk to you for a second? (He grabs him and starts to dragJoey into Monica's room.)"
"Joey";"Oohh!! Ohh! Oh-oh-oh! Oh-oh!!"
"Joey";"Ohhhhhhhhhhh!!!!!!!"
"Chandler";"Yes. Yes. (Lets him up.)"
"Joey";"(To Chandler) You?! (To Monica) And-and you?!"
"Monica";"Yes, but you cannot tell anyone! No one knows!"
"Joey";"How?! When?!"
"Chandler";"It happened in London."
"Chandler";"The reason we didn't tell anyone was because we didn't want to make abig deal out of it."
"Joey";"But it is a big deal!! I have to tell someone!"
"Chandler";"No-no-no-no-no! You can't!"
"Monica";"Please? Please?! We just don't want to deal with telling everyone, okay?Just promise you won't tell."
"Joey";"All right! Man, this is unbelievable! I mean, it's"
"Monica";"I know, it's great!"
"Joey";"Aww, I don't want to see that!"
"Phoebe";"We're so stupid! Do you know what's going on in there? They're trying totake Joey!"
"Phoebe";"The most popular Phoebe in tennis is called the overhand Phoebe. And ifyou win, you must slap your opponent on the Phoebe and say, "Hi, Phoebe!""
"Monica";"Oh that's cute! We really all enjoyed it. But y'know, it doesn't count."
"Phoebe";"Count for what?"
"Monica";"Count in our heads as-as good"
"Joey";"I guess I'm done."
"Chandler";"Fun's over!"
"Monica";"Wait-wait, guys! If-if we follow the rules, it's still fun and it meanssomething!"
"Rachel";"Uh-huh!"
"Joey";"I think I'm gonna take-off."
"Monica";"Guys, rules are good! Rules help control the fun! (They all leave andclose the door on Monica.) Ohhh! (Throws her notepad down in disgust.)"
"Joey";"(entering) Hey! Hey! Hey! Hey!! None of that, not while you're livingunder my roof!"
"Monica";"What?!"
"Joey";"Look, just because I"
"Chandler";"Aren't you supposed to be at an audition for another hour?"
"Joey";"Well, I'm sorry if I'm not a middle-aged black woman! (Starts for hisroom.) And I'm also sorry if"
"Chandler and Monica";"Okay."
"Monica";"Sorry."
"Chandler";"Sorry."
"Joey";"(from the bedroom) I can hear that!"
"Monica";"(To Chandler) Rachel's at work."
"Joey";"I can still hear you!"
"Phoebe";"Hey!"
"Joey";"Hey!"
"Chandler";"Hello!"
"Monica";"Hey, what's that?"
"Phoebe";"Yeah, my mom sent me a family heirloom that once belonged to mygrandmother. Can you believe it?! A year ago I didn't even have a family, and now I haveheirlooms for crying out loud."
"Phoebe";"Eeeee-(She opens the box and removes its contents and sees that it's afur coat.)-ohh!! God! (She throws it at Joey.)"
"Joey";"Argh-argh!! (Catches the coat.) Ooh, soft. Is this mink?"
"Phoebe";"Yeah!"
"Chandler";"Yeah, just some 9-year-old Filipino kids who worked their fingersbloody for 12 cents an hour. (Phoebe stares at him wide-eyed. Chandler sees her reaction.)That didn't happen, I made that up!"
"Ross";"(entering) Hey!"
"Gunther";"Oh, Ross? Ross! You can't put up flyers in here."
"Ross";"How come? Everybody else does."
"Gunther";"You can't."
"Monica";"What is that?"
"Ross";"Oh, umm, I'm just getting rid of a couple of things."
"Monica";"(looking at the flyer) This is all of your things."
"Ross";"Yes, yes it is! No, but it's good it's—Emily thinks we should get allnew stuff. Stuff that's just ours, together. Y'know brand new."
"Monica";"So basically, this is a getting-rid-of-everything-Rachel-ever-used sale."
"Ross";"Touched. Used. Sat on. Sleep on."
"Gunther";"I'll take it all."
"Joey";"Hey, Ross, you're okay with that?"
"Ross";"Look, if I can just do what Emily wants and"
"Chandler";"Okay, but don't you think this is a little extreme?"
"Ross";"After what"
"Phoebe";"Oh my God! You got off easy! When my friend Silvie's husband saidsomeone else's name in bed, she cursed him and turned his thingy green."
"Joey";"(after Ross is gone) What is he doing? What, Emily, thinks Ross'sfurniture has got Rachel coodies?"
"Monica";"Now calm down Joey."
"Joey";"No! Everything's gettin' all messed up, y'know? Emily won't let Ross seeRachel, we're not gonna stop seeing Rachel, hence Ross stops seeing us!"
"Phoebe";"Oh, I hate this. Everything's changing."
"Chandler";"Yeah I know, we're losing Ross, Joey said hence…"
"Monica";"Look, I'm not happy about this either, but y'know if-if Ross says he'shappy then we're just gonna have to keep our feelings about Emily to ourselves. Are youcool with that?"
"Joey";"No! But y'know, I'm an actor, I'll act cool."
"Rachel";"Ohh, whoa God! Storage rooms give me the creeps! Monica, come on pleasehurry up honey! Please?"
"Monica";"Rachel, if you want the little round waffles, you gotta have to waituntil I find the little waffle iron."
"Rachel";"I want the little round waffles."
"Monica";"All right. (Looking through a box.) Op, here it is! Right underneath thecan of-of bug bomb. I wonder if the best place to put something that cooks food isunderneath the can of poison?"
"Rachel";"Okay, y'know what? I'll-I'll have toast!"
"Rachel";"Arghhhh!!!!!!"
"Monica";"Oh my God! Fog him! Fog him!"
"Phoebe";"I don't know what I'm gonna do about this coat."
"Joey";"I'll take it!"
"Phoebe";"That might work! (She gives him the coat.)"
"Joey";"Ooh-ooh-ooh, yeah! (He drapes it around his shoulders.) Enh? All right,what do you think?"
"Chandler";"You're on in 5 Ms. Minnelli."
"Ross";"(on the phone) No-no-no, it's just a bit sudden. (Listens) No, it's great.Okay? I'm totally on board. I love you too, all righty. Bye. (Hangs up.)"
"Joey";"What's the matter Ross?"
"Ross";"Nothing. Oh, actually, great news! I just got off the phone with Emily andit looks like I'm moving to a new apartment. Woo-hoo!"
"Phoebe";"Why?"
"Ross";"Well, her thought is, and I agree, fresh new furniture, why not a freshnew apartment? Her cousin has this great place to sublet, it's got a view of the river onone side and Columbia on the other."
"Joey";"That's way uptown! That's like three trains away! (Phoebe pinches him.)Which is great! I love to ride that rail!"
"Chandler";"So you're really okay with this?"
"Ross";"Yes! Yes! I mean it's-it's kinda far from work, but uh, y'know, I'll getso much done on the commute. I-I've been given the gift of time!"
"Chandler";"Now that's so funny, because last Christmas I got the gift of space.We should get them together and make a continuum."
"Joey";"Now he's movin'? Man, what is Emily doing to him? (Phoebe pinches himagain.) Ow!! He's not even here!!!"
"Rachel";"You guys! You guys!"
"Monica";"We were, we were just in the storage area and we saw this really creepyman!"
"Rachel";"It was like this crazy-eyed, hairy beast man! He was like a, like abigfoot or a"
"Monica";"And he came at us with an axe, so Rachel had to use a bug bomb on him!"
"Rachel";"(proud of herself) Yeah, I-I-I just pulled the tab and I just fogged hisyeti ass!"
"Joey";"Uhh, like dark hair, bushy beard?"
"Rachel";"Yeah!"
"Joey";"Yeah, you fogged Danny."
"Rachel";"Please! We did"
"Joey";"Dan just moved in downstairs. Yeah, he just got back from like thisfour-month trek in the Andes. Nice fella."
"Monica";"Oh he's nice. He's nice! Y'know, you always stick up for the people wefog!"
"Danny";"Yeah?"
"Rachel";"Hi! You might not remember us, but"
"Monica";"We're-we're really sorry we fogged you."
"Danny";"Okay."
"Rachel";"Hi! Just so you know, we-we didn't"
"Danny";"Okay."
"Danny";"Yesss?"
"Rachel";"Hi! Sorry to bother you, but I don't think"
"Monica";"Yeah."
"Monica";"Wow! That guy is so rude!"
"Rachel";"Really! What is with that guy? I mean you'd forgive me if I fogged you."
"Monica";"Well you did a little bit."
"Rachel";"Oh my God, honey, I'm so sorry!"
"Monica";"I totally forgive you!"
"Rachel";"Really?"
"Monica";"Yes!"
"Phoebe";"Hey!"
"Monica";"Hey!"
"Phoebe";"So listen, you know my friend Chris who owns the crematorium?"
"Monica";"Crematorium Chris? Sure!"
"Phoebe";"He says, that he would cremate my fur coat for free if I umm, y'know,bring in the next person I know who dies."
"Rachel";"Oh my God! Oh my God, look at these pelts!"
"Monica";"Don't get too attached, she's having it cremated."
"Rachel";"What? Uhh, Phoebe, honey, honey, I know you're quirky and I get a bigkick out of it, we all do actually, but if you destroy a coat like this that is like acrime against nature! Not nature,"
"Phoebe";"This is fashion?! (Grabs the coat from Rachel.) Okay, so to you,"
"Ross";"(on phone) I know I miss you too. I can't wait to see you. I love you.Bye. (Hangs up.)"
"Chandler";"Okay, what is in here? Rocks?"
"Ross";"No-no, this is my collection of fossil samples."
"Chandler";"So, rocks."
"Ross";"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first stepsright over there. (Points.)"
"Joey";"Ohh. Hey, remember when I ran into this thing (The shutters that close offthe kitchen.) and it kinda knocked me out a little?"
"Ross";"I loved this place! To tell you the truth, I wish I didn't have to move."
"Joey";"Uhh, are you saying that you're not entirely happy about this?"
"Ross";"Well, I mean if uh, if Emily gave me a choice…"
"Joey";"You"
"Ross";"Why?"
"Joey";"It's not right what Emily wants you to do! She is totally-(The gang entersbehind Joey and Phoebe pinches him again.)-Owww!! Stop pinching me! Look, now you guyssaid I only had to keep my mouth shut as long as Ross was happy, right? Well he just toldme that he's not entirely happy."
"Ross";"What's going on?"
"Joey";"We all hate Emily!"
"Phoebe";"Nooo!!"
"Monica";"No, Ross, we do not hate Emily. We-we just, we just think that you'rehaving to sacrifice a whole lot to make her happy."
"Joey";"Yeah!"
"Chandler";"Look, we just think that maybe she's being a little unreasonable."
"Joey";"Yes! Yes! Unreasonable!"
"Ross";"Unreasonable? How about we have this conversation when one of you guysgets married! You have"
"Phoebe";"I think he's right. You guys hang out at the coffeehouse way too much."
"Monica";"God, I feel so guilty about Ross."
"Phoebe";"Oh, I know."
"Joey";"I kinda feel like it's my fault."
"Chandler";"Kind of? If you just kept this to yourself none of this would'vehappened."
"Joey";"Well, I'm keeping so many things to myself these days, something was boundto slip out! (He glares at Chandler.)"
"Chandler";"Well, I think it's very brave what you said."
"Phoebe";"All right, I can't sit here anymore. I have to walk places. (She puts onher fur coat.)"
"Chandler";"Pheebs, what are you doing with the coat? How about the whole animalrights thing?"
"Phoebe";"Well, I've been reading up and for your information, minks are not verynice. Okay, I admit it! I love this coat! Okay, I—it's the best thing I've ever hadwrapped around me, including Phil Huntley! (She starts to leave but stops and says toMonica.) Remember Phil Huntley? He was fine!"
"Rachel";"Hi!"
"Danny";"So you like the short hair better."
"Rachel";"What? Yeti—I mean Danny?"
"Danny";"I had to cut my hair to get rid of the uh, fogger smell."
"Rachel";"Oh. Listen, I'm so sorry. I would, I would've never fogged you if y'knowif you hadn't looked so…. Y'know."
"Danny";"Absolutely. Some people are just into appearances."
"Rachel";"(shocked) What?"
"Danny";"That's cool. Cool. (Starts to leave.)"
"Rachel";"What? Hey! No-no-no! This not cool! You don't even know me!"
"Danny";"Come on, you got the shopping bags and the Sack's catalog."
"Rachel";"So from that you think you've got me all figured out? Well, you don't!Y'know I-I could have toys for underprivileged kids in here!"
"Danny";"Do you?"
"Rachel";"Well, y'know, if-if kids like to play with Capri pants."
"Danny";"Okay. (Heads for his apartment.)"
"Rachel";"And stop saying that! I hate that!"
"Danny";"Okay!"
"Rachel";"Fine! I judged you. I made a snap judgement. But you did it too! And youare worse because you are sticking to your stupid snap judgement! You can't even open upyour mind for a second to see if you're wrong! What does that say about you?"
"Danny";"The pizza-place across the street any good?"
"Rachel";"What?!"
"Danny";"I'm hungry. Wanna get some pizza? You can keep yelling if there's more."
"Rachel";"Okay. Okay."
"Danny";"Stop saying that. I hate that."
"Chandler";"Uh, Ross?"
"Phoebe";"Are you still mad at us?"
"Ross";"Yep."
"Phoebe";"Oh good! Because we have an "I'm sorry" song."
"Ross";"Y'know what? I'm really not in the mood."
"Joey";"Look, Ross, I feel really bad. I mean, you're going through all this stuffand I just acted like a jerk."
"Chandler";"Yeah, we are so sorry."
"Phoebe";"(To Chandler) You're kinda stepping on the song. (She gets ready to playbut is stopped by…)"
"Joey";"Look, we were"
"Monica";"Whatever you decide, whatever you do."
"Phoebe";"Okay,"
"Ross";"Look, this is hard enough! I really need you guys right now."
"Phoebe";"Yes! Exactly! And that's why…"
"Monica";"Why don't you come over tonight? And I'll make you favorite dinner."
"Ross";"Okay. Thanks you guys. Pheebs are you wearing fur?"
"Phoebe";"Okay, let's get some perspective people; it's not like I'm wearing aseeing-eye dog coat!"
"Joey";"Hey, y'know Ross, I think I kinda understand why I kinda lost it today."
"Ross";"You do, huh?"
"Joey";"Yeah you see umm, well, I'm an actor. Right? So I gotta keep my emotionsright at the surface y'know? See what I'm saying? I gotta lot of balls in the air. (Makeslike he's juggling.) Y'know what I mean? It's tough! Guys like me, y'know, you wanderaround, you're alone…"
"Ross";"What are you talking about?"
"Joey";"(thinks) I'm not sure."
"Rachel";"(entering) Hi!"
"Monica";"Hey, look at you! Where have you been?"
"Rachel";"Oh, I went to have pizza. With Danny."
"Monica";"How did that happen?"
"Rachel";"That yeti is one smooth talker."
"Monica";"I hope you're not full, 'cause dinner's almost ready."
"Rachel";"Yeah, y'know I-I think I'm just gonna hang out in my room."
"All";"No! Why?"
